name,name_english,image,mp3,pdf,language,theme,subtheme,subtheme_no_language
esperar,to wait for,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_street/to_wait_for.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_street/to_wait_for.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_street/to_wait_for_city_spanish.pdf,spanish,city_spanish,street_spanish,street
tener cuidado,to be careful,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_street/to_be_careful.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_street/to_be_careful.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_street/to_be_careful_city_spanish.pdf,spanish,city_spanish,street_spanish,street
el museo,the museum,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/museum.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/museum.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/museum_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el hospital,the hospital,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/hospital.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/hospital.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/hospital_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el parque,the park,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/park.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/park.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/park_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
la escuela,the school,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/school.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/school.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/school_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el cine,the movie theater,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/movie_theater.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/movie_theater.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/movie_theater_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el centro comercial,the mall,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/mall.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/mall.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/mall_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el restaurante,the restaurant,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/restaurant.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/restaurant.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/restaurant_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el apartamento,the apartment,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/apartment.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/apartment.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/apartment_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el correo,the post office,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/post_office.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/post_office.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/post_office_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el banco,the bank,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/bank.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/bank.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/bank_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
trabajar,to work,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/to_work.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/to_work.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/to_work_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
comprar,to buy,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/to_buy.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/to_buy.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/to_buy_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
buscar,to look for,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_buildings/to_look_for.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_buildings/to_look_for.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_buildings/to_look_for_city_spanish.pdf,spanish,city_spanish,buildings_spanish,buildings
el autobús,the bus,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/bus.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/bus.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/bus_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
la estación autobús,the bus station,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/bus_station.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/bus_station.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/bus_station_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
el avión,the plane,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/plane.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/plane.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/plane_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
el taxi,the taxi,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/taxi.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/taxi.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/taxi_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
el tráfico,the traffic,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/traffic.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/traffic.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/traffic_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
el tren,the train,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/train.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/train.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/train_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
la bicicleta,the bicycle,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/bicycle.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/bicycle.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/bicycle_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
la motocicleta,the motorcycle,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/motorcycle.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/motorcycle.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/motorcycle_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
montar,to ride,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/to_ride.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/to_ride.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/to_ride_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
cruzar,to cross,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/to_cross.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/to_cross.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/to_cross_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
subir al autobús,to get on the bus,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/to_get_on_the_bus.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/to_get_on_the_bus.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/to_get_on_the_bus_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
bajar del autobús,to get off the bus,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_transportation/to_get_off_the_bus.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_transportation/to_get_off_the_bus.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_transportation/to_get_off_the_bus_city_spanish.pdf,spanish,city_spanish,transportation_spanish,transportation
el claxon,the horn,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/horn.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/horn.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/horn_city_spanish.pdf,spanish,city_spanish,car_spanish,car
el espejo,the mirror,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/mirror.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/mirror.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/mirror_city_spanish.pdf,spanish,city_spanish,car_spanish,car
el cinturón de seguridad,the seat belt,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/seat_belt.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/seat_belt.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/seat_belt_city_spanish.pdf,spanish,city_spanish,car_spanish,car
el asiento,the seat,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/seat.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/seat.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/seat_city_spanish.pdf,spanish,city_spanish,car_spanish,car
la rueda,the wheel,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/wheel.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/wheel.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/wheel_city_spanish.pdf,spanish,city_spanish,car_spanish,car
el conductor,the driver (boy),http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/driver_boy.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/driver_boy.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/driver_boy_city_spanish.pdf,spanish,city_spanish,car_spanish,car
la conductora,the driver (girl),http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/driver_girl.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/driver_girl.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/driver_girl_city_spanish.pdf,spanish,city_spanish,car_spanish,car
ir,to go,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/to_go.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/to_go.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/to_go_city_spanish.pdf,spanish,city_spanish,car_spanish,car
manejar,to drive,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/to_drive.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/to_drive.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/to_drive_city_spanish.pdf,spanish,city_spanish,car_spanish,car
chocar,to crash,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/to_crash.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/to_crash.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/to_crash_city_spanish.pdf,spanish,city_spanish,car_spanish,car
ir rápido,(to go) fast,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/to_go_fast.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/to_go_fast.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/to_go_fast_city_spanish.pdf,spanish,city_spanish,car_spanish,car
ir despacio,(to go) slowly,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/to_go_slowly.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/to_go_slowly.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/to_go_slowly_city_spanish.pdf,spanish,city_spanish,car_spanish,car
a la izquierda,to the left,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/to_the_left.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/to_the_left.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/to_the_left_city_spanish.pdf,spanish,city_spanish,car_spanish,car
a la derecha,to the right,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_images/images_car/to_the_right.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_audio/audio_car/to_the_right.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_city/subtheme/word_pdfs/pdfs_car/to_the_right_city_spanish.pdf,spanish,city_spanish,car_spanish,car
la chimenea,the fireplace,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/fireplace.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/fireplace.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/fireplace_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
la escalera,the staircase,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/staircase.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/staircase.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/staircase_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
el teléfono,the telephone,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/telephone.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/telephone.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/telephone_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
el sofá,the couch,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/couch.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/couch.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/couch_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
la lámpara,the lamp,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/lamp.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/lamp.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/lamp_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
la ventana,the window,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/window.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/window.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/window_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
la alfombra,the rug,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/rug.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/rug.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/rug_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
el televisor,the television set,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/television_set.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/television_set.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/television_set_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
el remoto,the remote,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_living_room/remote.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_living_room/remote.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_living_room/remote_house_spanish.pdf,spanish,house_spanish,living_room_spanish,living_room
el armario,the closet,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_bedroom/closet.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_bedroom/closet.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_bedroom/closet_house_spanish.pdf,spanish,house_spanish,bedroom_spanish,bedroom
el reloj,the clock,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_bedroom/clock.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_bedroom/clock.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_bedroom/clock_house_spanish.pdf,spanish,house_spanish,bedroom_spanish,bedroom
la almohada,the pillow,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_images/images_bedroom/pillow.jpg,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_audio/audio_bedroom/pillow.mp3,http://fivesomnimedia.com/projects/sfs/sfs_site_spanish/theme_house/subtheme/word_pdfs/pdfs_bedroom/pillow_house_spanish.pdf,spanish,house_spanish,bedroom_spanish,bedroom
